url,title,brand_name,product_type,volume_weight,short_description,old_price,current_price
https://www.guardian.com.vn/tinh-chat-duong-am-bio-essence-vitamin-b5-30ml.html,Tinh Chất Dưỡng Ẩm Vitamin B5 Bio Essence 30Ml,BIO ESSENCE,Kem dưỡng,30Ml,"Tinh Chất Dưỡng Ẩm Vitamin B5 Bio Essence 30Ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:BIO ESSENCE SKU 3023503 452,000₫ 695,000₫ -35 % So sánh Tặng 1 XỊT KHOÁNG CHO DA NHẠY CẢM BIO ESSENCE 30ML | 24.9 - 28.10 Áp dụng 24 thg 9, 2025 - 28 thg 10, ...",695,452
https://www.guardian.com.vn/mat-na-2-chuc-nang-purederm-bun-den-va-oxy-multi-area-black-o2-bubble-mask-5g-15g.html,Mặt Nạ 2 Chức Năng Bùn Đen Và Oxy Purederm Multi-Area Black O2 Bubble Mask 20Gr,PUREDERM,Mặt nạ,20G,"Mặt Nạ 2 Chức Năng Bùn Đen Và Oxy Purederm Multi-Area Black O2 Bubble Mask 20Gr Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:PUREDERM SKU 3025159 34,000₫ 40,000₫ -15 % So sánh Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng 29 thg ...",40,34
https://www.guardian.com.vn/kem-duong-da-giup-giam-mun-va-thong-thoang-lo-chan-long-svr-sebiaclear-mat-pores-40ml.html,Kem Dưỡng Da Giúp Giảm Mụn Và Thông Thoáng Lỗ Chân Lông SVR Sebiaclear Mat Pores 40ml,SVR,Kem dưỡng,40ml,"Kem Dưỡng Da Giúp Giảm Mụn Và Thông Thoáng Lỗ Chân Lông SVR Sebiaclear Mat Pores 40ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:SVR SKU 3019606 396,000₫ 466,000₫ -15 % So sánh Hóa Đơn SVR Từ 299k Tặng 1 SVR GEL RỬA MẶT KHÔNG XÀ PHÒNG DÀNH CHO DA D...",466,396
https://www.guardian.com.vn/mat-na-benew-pearl-ngoc-trai-trang-hong-22ml.html,Mặt Nạ Pearl Ngọc Trai Dưỡng Da Sáng Hồng Benew 22Ml,BENEW,Mặt nạ,22Ml,"Mặt Nạ Pearl Ngọc Trai Dưỡng Da Sáng Hồng Benew 22Ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:BENEW SKU 3019306 15,000₫ So sánh Phân loại: Ngọc Trai Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng 29 thg 9, 2025 - 28 thg 10, 20...",15,15
https://www.guardian.com.vn/nuoc-hoa-hong-chiet-xuat-la-diep-ca-500ml.html,Nước Hoa Hồng Chiết Xuất Lá Diếp Cá Natural Skin Lotion Chinoshio Dokudami 500Ml,CHINOSHIO,Nước hoa hồng/Toner,500Ml,"Nước Hoa Hồng Chiết Xuất Lá Diếp Cá Natural Skin Lotion Chinoshio Dokudami 500Ml Xếp hạng: 100 % of 100 	1  Đánh giá Thương hiệu:CHINOSHIO SKU 3025174  100,000  - Giá ưu đãi Hội Cam  -40 % Tham gia Hội Cam ngay 109,000₫ 166,000₫ -34 % So sánh Phân lo...",166,109
https://www.guardian.com.vn/mat-na-matrix-trai-cay-va-sua-tuoi-goi-30g.html,Mặt Nạ Trái Cây Và Sữa Tươi Matrix 30Gr,MATRIX,Mặt nạ,30G,"Mặt Nạ Trái Cây Và Sữa Tươi Matrix 30Gr Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:MATRIX SKU 3023975 9,000₫ So sánh Phân loại: Trái Cây & Sữa Tươi Hóa Đơn Từ 1.999k Tặng 1 Túi Tò He Xinh Xắn | 24.9 - 28.10 Áp dụng 29 thg 9, 2025 - 28 thg 10, 2025 ...",9,9
https://www.guardian.com.vn/kem-duong-ban-dem-l-oreal-paris-glycolic-bright-sang-da-tuc-thi-50ml.html,Kem Dưỡng Ban Đêm L'Oreal Paris Glycolic Bright Sáng Da Tức Thì 50Ml,L'ORÉAL,Kem dưỡng,50Ml,"Kem Dưỡng Ban Đêm L'Oreal Paris Glycolic Bright Sáng Da Tức Thì 50Ml Xếp hạng: 90 % of 100 	2  Đánh giá Thương hiệu:L'ORÉAL SKU 3025118 359,000₫ 399,000₫ -10 % So sánh Phân loại: Kem Đêm Tặng 1 Kem Dưỡng Ban Đêm Hỗ Trợ Sáng Da L'Oreal Paris Glycoli...",399,359
https://www.guardian.com.vn/mat-na-giay-ho-tro-duong-am-duong-sang-da-nature-republic-real-nature-orange-mask-sheet-chiet-xuat-tu-cam-23ml.html,"Mặt Nạ Giấy Hỗ Trợ Dưỡng Ẩm, Dưỡng Sáng Da Nature Republic Real Nature Orange Mask Sheet Chiết Xuất Từ Cam 23Ml",NATURE REPUBLIC,Mặt nạ,23Ml,"Mặt Nạ Giấy Hỗ Trợ Dưỡng Ẩm, Dưỡng Sáng Da Nature Republic Real Nature Orange Mask Sheet Chiết Xuất Từ Cam 23Ml Xếp hạng: 0 % of 100 	0 Đánh giá Thương hiệu:NATURE REPUBLIC SKU 3025229  20,000  - Giá ưu đãi Hội Cam  -31 % Tham gia Hội Cam ngay 23,000...",29,23
https://www.guardian.com.vn/sua-rua-mat-senka-perfect-whip-collagen-in-am-min-va-san-chac-da-120g.html,Sữa Rửa Mặt Ẩm Mịn Và Săn Chắc Da Perfect Whip Collagen In Senka 120Gr,SENKA,Sữa rửa mặt,120G,"Sữa Rửa Mặt Ẩm Mịn Và Săn Chắc Da Perfect Whip Collagen In Senka 120Gr Xếp hạng: 100 % of 100 	3  Đánh giá Thương hiệu:SENKA SKU 3018052 117,000₫ So sánh Phân loại: Collagen Hóa Đơn SENKA Từ 159K Tặng 1 TRAVEL KIT BAG | 24.9 - 28.10 Áp dụng 24 thg ...",117,117
https://www.guardian.com.vn/serum-chong-nang-duong-the-khang-bui-mat-lanh-biore-uv-spf50-pa-150ml.html,Serum Chống Nắng Dưỡng Thể Kháng Bụi Mát Lạnh Biore Uv Spf50+/Pa+++ 150Ml,BIORE,Kem chống nắng,150Ml,"Serum Chống Nắng Dưỡng Thể Kháng Bụi Mát Lạnh Biore Uv Spf50+/Pa+++ 150Ml Xếp hạng: 100 % of 100 	1  Đánh giá Thương hiệu:BIORE SKU 3017183 213,000₫ So sánh Phân loại: Sáng Da Mát Lạnh Tặng 3 Gel Chống Nắng Biore 7ml | 24.9 - 28.10 Áp dụng 24 thg 9, ...",213,213
